"location","class","purchase_ton","year"
"NORTE","CLASSE I","35.699004240000001",2009
"NORTE","CLASSE II","899.6200824",2009
"NORTE","CLASSE III","2862.1027026000002",2009
"NORTE","CLASSE IV","572.08502927999996",2009
"AC","CLASSE I","0.00027999999999999998",2009
"AC","CLASSE II","14.0253868",2009
"AC","CLASSE III","88.974958299999997",2009
"AC","CLASSE IV","2.9746769999999998",2009
"AM","CLASSE I","0.095200000000000007",2009
"AM","CLASSE II","4.6613775999999998",2009
"AM","CLASSE III","11.5581698",2009
"AM","CLASSE IV","28.878941999999999",2009
"AP","CLASSE I","0",2009
"AP","CLASSE II","0",2009
"AP","CLASSE III","57.833492999999997",2009
"AP","CLASSE IV","4.9922820000000003",2009
"PA","CLASSE I","10.864305999999999",2009
"PA","CLASSE II","264.59628780000003",2009
"PA","CLASSE III","734.46377150000001",2009
"PA","CLASSE IV","96.404433179999998",2009
"RO","CLASSE I","13.13853995",2009
"RO","CLASSE II","285.65079359999999",2009
"RO","CLASSE III","1149.619533",2009
"RO","CLASSE IV","223.4329736",2009
"RR","CLASSE I","0.10885",2009
"RR","CLASSE II","40.898519",2009
"RR","CLASSE III","29.733799999999999",2009
"RR","CLASSE IV","4.5123655999999999",2009
"TO","CLASSE I","11.491828290000001",2009
"TO","CLASSE II","289.78771760000001",2009
"TO","CLASSE III","789.91897700000004",2009
"TO","CLASSE IV","210.8893559",2009
"NORDESTE","CLASSE I","410.162828741",2009
"NORDESTE","CLASSE II","5509.70755577",2009
"NORDESTE","CLASSE III","10686.641581439999",2009
"NORDESTE","CLASSE IV","2215.9837970499998",2009
"MA","CLASSE I","94.948967789999998",2009
"MA","CLASSE II","611.42855510000004",2009
"MA","CLASSE III","2270.186158",2009
"MA","CLASSE IV","329.56130739999998",2009
"PI","CLASSE I","16.68279545",2009
"PI","CLASSE II","309.57384139999999",2009
"PI","CLASSE III","1041.6474020000001",2009
"PI","CLASSE IV","151.18260559999999",2009
"CE","CLASSE I","3.933773",2009
"CE","CLASSE II","11.342459590000001",2009
"CE","CLASSE III","-578.72025980000001",2009
"CE","CLASSE IV","75.067788890000003",2009
"RN","CLASSE I","3.0626800699999999",2009
"RN","CLASSE II","98.055862039999994",2009
"RN","CLASSE III","60.35503928",2009
"RN","CLASSE IV","46.751826199999996",2009
"PB","CLASSE I","0.79580600700000004",2009
"PB","CLASSE II","121.2590878",2009
"PB","CLASSE III","67.998325159999993",2009
"PB","CLASSE IV","22.187558660000001",2009
"PE","CLASSE I","17.551379480000001",2009
"PE","CLASSE II","482.12070460000001",2009
"PE","CLASSE III","864.64491910000004",2009
"PE","CLASSE IV","94.301778100000007",2009
"AL","CLASSE I","7.3722991440000003",2009
"AL","CLASSE II","307.04514749999998",2009
"AL","CLASSE III","372.77819260000001",2009
"AL","CLASSE IV","6.9677011999999996",2009
"SE","CLASSE I","0.40604299999999999",2009
"SE","CLASSE II","26.32982574",2009
"SE","CLASSE III","166.9123251",2009
"SE","CLASSE IV","21.743055999999999",2009
"BA","CLASSE I","265.40908480000002",2009
"BA","CLASSE II","3542.552072",2009
"BA","CLASSE III","6420.8394799999996",2009
"BA","CLASSE IV","1468.2201749999999",2009
"SUDESTE","CLASSE I","1755.1909210600002",2009
"SUDESTE","CLASSE II","16571.565081300003",2009
"SUDESTE","CLASSE III","36608.186398000005",2009
"SUDESTE","CLASSE IV","16850.735975809999",2009
"ES","CLASSE I","18.62228756",2009
"ES","CLASSE II","292.52579429999997",2009
"ES","CLASSE III","1184.2271559999999",2009
"ES","CLASSE IV","104.0386025",2009
"MG","CLASSE I","385.01287350000001",2009
"MG","CLASSE II","4575.7278100000003",2009
"MG","CLASSE III","8855.1679829999994",2009
"MG","CLASSE IV","2240.5839919999999",2009
"RJ","CLASSE I","8.2822270000000007",2009
"RJ","CLASSE II","146.142797",2009
"RJ","CLASSE III","2188.187019",2009
"RJ","CLASSE IV","42.706801310000003",2009
"SP","CLASSE I","1343.273533",2009
"SP","CLASSE II","11557.168680000001",2009
"SP","CLASSE III","24380.604240000001",2009
"SP","CLASSE IV","14463.406580000001",2009
"SUL","CLASSE I","774.28869424000004",2009
"SUL","CLASSE II","14670.408594999999",2009
"SUL","CLASSE III","50892.793717",2009
"SUL","CLASSE IV","5660.2124219999996",2009
"PR","CLASSE I","497.4669859",2009
"PR","CLASSE II","8094.1334280000001",2009
"PR","CLASSE III","20730.933280000001",2009
"PR","CLASSE IV","3536.0296669999998",2009
"RS","CLASSE I","219.9355118",2009
"RS","CLASSE II","4904.4422770000001",2009
"RS","CLASSE III","26769.71703",2009
"RS","CLASSE IV","1622.120058",2009
"SC","CLASSE I","56.88619654",2009
"SC","CLASSE II","1671.8328899999999",2009
"SC","CLASSE III","3392.143407",2009
"SC","CLASSE IV","502.06269700000001",2009
"
CENTRO-OESTE","CLASSE I","1005.087611875",2009
"
CENTRO-OESTE","CLASSE II","19241.102195300002",2009
"
CENTRO-OESTE","CLASSE III","40334.233139299999",2009
"
CENTRO-OESTE","CLASSE IV","7427.9370517999996",2009
"DF","CLASSE I","2.8604983750000001",2009
"DF","CLASSE II","119.6538973",2009
"DF","CLASSE III","288.11274429999997",2009
"DF","CLASSE IV","117.97565640000001",2009
"GO","CLASSE I","199.72194039999999",2009
"GO","CLASSE II","4677.5832469999996",2009
"GO","CLASSE III","12485.8508",2009
"GO","CLASSE IV","1810.517857",2009
"MS","CLASSE I","151.54014799999999",2009
"MS","CLASSE II","2623.5674610000001",2009
"MS","CLASSE III","6493.7195949999996",2009
"MS","CLASSE IV","878.36172339999996",2009
"MT","CLASSE I","650.96502510000005",2009
"MT","CLASSE II","11820.29759",2009
"MT","CLASSE III","21066.549999999999",2009
"MT","CLASSE IV","4621.0818149999996",2009
"Vendas sem definição","CLASSE I","688.63312509649995",2009
"Vendas sem definição","CLASSE II","13892.393561885001",2009
"Vendas sem definição","CLASSE III","50332.949640033999",2009
"Vendas sem definição","CLASSE IV","451.9821",2009
"Vendas Totais","CLASSE I","4669.0621852525001",2009
"Vendas Totais","CLASSE II","70784.797071655004",2009
"Vendas Totais","CLASSE III","191716.90717837401",2009
"Vendas Totais","CLASSE IV","33178.93637594",2009
"NORTE","CLASSE I","-4.7945494649999958",2010
"NORTE","CLASSE II","1382.3550581879499",2010
"NORTE","CLASSE III","5214.9572003000003",2010
"NORTE","CLASSE IV","455.01964762030002",2010
"AC","CLASSE I","0.14910000000000001",2010
"AC","CLASSE II","26.412421000000002",2010
"AC","CLASSE III","216.62086755999997",2010
"AC","CLASSE IV","4.0881720000000001",2010
"AM","CLASSE I","4.8347749999999996",2010
"AM","CLASSE II","4.5030399000000001",2010
"AM","CLASSE III","31.869913",2010
"AM","CLASSE IV","1.3984134100000003",2010
"AP","CLASSE I","0",2010
"AP","CLASSE II","0.74963650000000004",2010
"AP","CLASSE III","78.275741999999994",2010
"AP","CLASSE IV","4.4239660000000001",2010
"PA","CLASSE I","-33.533493599999993",2010
"PA","CLASSE II","386.72476650000021",2010
"PA","CLASSE III","1522.7580269400003",2010
"PA","CLASSE IV","116.70441876000001",2010
"RO","CLASSE I","16.409665035",2010
"RO","CLASSE II","397.52972853794972",2010
"RO","CLASSE III","2006.8388883949997",2010
"RO","CLASSE IV","186.85657933000005",2010
"RR","CLASSE I","0.32673699999999994",2010
"RR","CLASSE II","49.3928595",2010
"RR","CLASSE III","68.173663000000005",2010
"RR","CLASSE IV","10.64636788",2010
"TO","CLASSE I","7.0186671",2010
"TO","CLASSE II","517.04260625000018",2010
"TO","CLASSE III","1290.420099405",2010
"TO","CLASSE IV","130.90173024029994",2010
"NORDESTE","CLASSE I","895.68922690500006",2010
"NORDESTE","CLASSE II","8910.2781336251701",2010
"NORDESTE","CLASSE III","19676.660612254993",2010
"NORDESTE","CLASSE IV","2836.5887058891813",2010
"MA","CLASSE I","254.96579630000002",2010
"MA","CLASSE II","835.77497656147045",2010
"MA","CLASSE III","3798.697551535",2010
"MA","CLASSE IV","352.08922717000002",2010
"PI","CLASSE I","18.630432800000005",2010
"PI","CLASSE II","508.44981068162997",2010
"PI","CLASSE III","2161.0011904399998",2010
"PI","CLASSE IV","109.66667119999997",2010
"CE","CLASSE I","7.3338602999999996",2010
"CE","CLASSE II","125.03728945000007",2010
"CE","CLASSE III","358.60912689999992",2010
"CE","CLASSE IV","72.551552639100038",2010
"RN","CLASSE I","1.8820916000000001",2010
"RN","CLASSE II","131.17410090000001",2010
"RN","CLASSE III","102.80195940000006",2010
"RN","CLASSE IV","63.26015740199999",2010
"PB","CLASSE I","1.3999330000000001",2010
"PB","CLASSE II","150.64305464",2010
"PB","CLASSE III","97.210867240000027",2010
"PB","CLASSE IV","23.970083600000002",2010
"PE","CLASSE I","19.630806905",2010
"PE","CLASSE II","1019.9155543316994",2010
"PE","CLASSE III","1532.9642083599992",2010
"PE","CLASSE IV","201.61438093739997",2010
"AL","CLASSE I","2.5832319999999998",2010
"AL","CLASSE II","658.79006025499973",2010
"AL","CLASSE III","994.76251453999998",2010
"AL","CLASSE IV","12.075934899999998",2010
"SE","CLASSE I","0.28284330000000002",2010
"SE","CLASSE II","85.430670149999983",2010
"SE","CLASSE III","208.02310102500002",2010
"SE","CLASSE IV","122.43058040244",2010
"BA","CLASSE I","588.98023069999999",2010
"BA","CLASSE II","5395.0626166553702",2010
"BA","CLASSE III","10422.590092814993",2010
"BA","CLASSE IV","1878.9301176382412",2010
"SUDESTE","CLASSE I","2089.4838283999998",2010
"SUDESTE","CLASSE II","31043.647570368968",2010
"SUDESTE","CLASSE III","61814.704697209978",2010
"SUDESTE","CLASSE IV","18804.820742800548",2010
"ES","CLASSE I","31.300334200000005",2010
"ES","CLASSE II","537.31036687976007",2010
"ES","CLASSE III","1479.4695488799991",2010
"ES","CLASSE IV","182.36507856409995",2010
"MG","CLASSE I","648.70779870000001",2010
"MG","CLASSE II","7291.8102324435704",2010
"MG","CLASSE III","14793.281098964988",2010
"MG","CLASSE IV","2499.8515426183794",2010
"RJ","CLASSE I","9.4529110999999997",2010
"RJ","CLASSE II","289.63366642831994",2010
"RJ","CLASSE III","620.7994388999997",2010
"RJ","CLASSE IV","38.873642480000001",2010
"SP","CLASSE I","1400.0227843999996",2010
"SP","CLASSE II","22924.893304617319",2010
"SP","CLASSE III","44921.15461046499",2010
"SP","CLASSE IV","16083.73047913807",2010
"SUL","CLASSE I","1186.9350965789999",2010
"SUL","CLASSE II","19860.19446922946",2010
"SUL","CLASSE III","58246.736563035032",2010
"SUL","CLASSE IV","6485.4019178197013",2010
"PR","CLASSE I","833.48426197499987",2010
"PR","CLASSE II","10535.983172188289",2010
"PR","CLASSE III","24697.519594680023",2010
"PR","CLASSE IV","3613.2430504574518",2010
"RS","CLASSE I","304.05459819999999",2010
"RS","CLASSE II","7132.0300607982472",2010
"RS","CLASSE III","27510.177029245002",2010
"RS","CLASSE IV","2307.8585387393505",2010
"SC","CLASSE I","49.396236403999985",2010
"SC","CLASSE II","2192.1812362429214",2010
"SC","CLASSE III","6039.0399391100063",2010
"SC","CLASSE IV","564.30032862289988",2010
"
CENTRO-OESTE","CLASSE I","3024.1897844775003",2010
"
CENTRO-OESTE","CLASSE II","27236.923327780871",2010
"
CENTRO-OESTE","CLASSE III","60402.126645192511",2010
"
CENTRO-OESTE","CLASSE IV","8958.9075163144953",2010
"DF","CLASSE I","8.0462419000000018",2010
"DF","CLASSE II","171.04067700317995",2010
"DF","CLASSE III","312.34469565999996",2010
"DF","CLASSE IV","74.423356612200024",2010
"GO","CLASSE I","569.74523016250021",2010
"GO","CLASSE II","7026.2092518704103",2010
"GO","CLASSE III","18957.985690635007",2010
"GO","CLASSE IV","2179.3867866581913",2010
"MS","CLASSE I","326.35412460000003",2010
"MS","CLASSE II","3742.9094284039675",2010
"MS","CLASSE III","10171.826339959996",2010
"MS","CLASSE IV","833.50244401409964",2010
"MT","CLASSE I","2120.044187815",2010
"MT","CLASSE II","16296.763970503314",2010
"MT","CLASSE III","30959.96991893751",2010
"MT","CLASSE IV","5871.5949290300032",2010
"Vendas sem definição","CLASSE I","1235.3618689499997",2010
"Vendas sem definição","CLASSE II","15331.453380874493",2010
"Vendas sem definição","CLASSE III","29303.162929099984",2010
"Vendas sem definição","CLASSE IV","110.47073375487997",2010
"Vendas Totais","CLASSE I","8426.8652558465001",2010
"Vendas Totais","CLASSE II","103764.8519400669",2010
"Vendas Totais","CLASSE III","234658.3486470925",2010
"Vendas Totais","CLASSE IV","37651.209264199111",2010
"NORTE","CLASSE I","43.027112143499998",2011
"NORTE","CLASSE II","1894.2748848721803",2011
"NORTE","CLASSE III","5946.8020008599997",2011
"NORTE","CLASSE IV","642.72268968799995",2011
"RO","CLASSE I","11.519536043499999",2011
"RO","CLASSE II","558.16029629618015",2011
"RO","CLASSE III","1635.3577891399993",2011
"RO","CLASSE IV","191.91103240000001",2011
"AC","CLASSE I","0.3424159",2011
"AC","CLASSE II","60.297376509999999",2011
"AC","CLASSE III","263.64449677999994",2011
"AC","CLASSE IV","9.2025074",2011
"AM","CLASSE I","4.5289449999999993",2011
"AM","CLASSE II","6.2765670000000018",2011
"AM","CLASSE III","34.130103999999996",2011
"AM","CLASSE IV","2.4824523799999998",2011
"RR","CLASSE I","0.20995000000000003",2011
"RR","CLASSE II","37.921183899999996",2011
"RR","CLASSE III","109.97203759999999",2011
"RR","CLASSE IV","63.566812589999998",2011
"PA","CLASSE I","13.1282604",2011
"PA","CLASSE II","584.62793527500014",2011
"PA","CLASSE III","2093.2316925399996",2011
"PA","CLASSE IV","185.36722060999998",2011
"AP","CLASSE I","0.034375000000000003",2011
"AP","CLASSE II","0.44485440000000009",2011
"AP","CLASSE III","84.205883240000006",2011
"AP","CLASSE IV","8.797699999999999",2011
"TO","CLASSE I","13.2636298",2011
"TO","CLASSE II","646.54667149099998",2011
"TO","CLASSE III","1726.2599975600003",2011
"TO","CLASSE IV","181.394964308",2011
"NORDESTE","CLASSE I","604.18656239999996",2011
"NORDESTE","CLASSE II","11046.837211628937",2011
"NORDESTE","CLASSE III","24557.333384839199",2011
"NORDESTE","CLASSE IV","2637.4436544260402",2011
"MA","CLASSE I","124.6484063",2011
"MA","CLASSE II","1185.5621782026199",2011
"MA","CLASSE III","5113.4282342300039",2011
"MA","CLASSE IV","288.69630730999995",2011
"PI","CLASSE I","16.754941500000001",2011
"PI","CLASSE II","837.36710176571978",2011
"PI","CLASSE III","2804.2230540799997",2011
"PI","CLASSE IV","157.65054919999997",2011
"CE","CLASSE I","11.3757982",2011
"CE","CLASSE II","161.41302529000004",2011
"CE","CLASSE III","334.91039075919997",2011
"CE","CLASSE IV","123.39502907250005",2011
"RN","CLASSE I","2.1580273999999999",2011
"RN","CLASSE II","189.46868264882005",2011
"RN","CLASSE III","146.44697298000006",2011
"RN","CLASSE IV","46.512668794000007",2011
"PB","CLASSE I","2.3110897000000001",2011
"PB","CLASSE II","150.16559675999989",2011
"PB","CLASSE III","225.3818420799999",2011
"PB","CLASSE IV","40.216759119999999",2011
"PE","CLASSE I","14.3719403",2011
"PE","CLASSE II","848.64642296499972",2011
"PE","CLASSE III","1748.7981146800003",2011
"PE","CLASSE IV","236.70593791610008",2011
"AL","CLASSE I","1.0754402000000001",2011
"AL","CLASSE II","693.60901400999956",2011
"AL","CLASSE III","1097.2659016199998",2011
"AL","CLASSE IV","29.888107500000004",2011
"SE","CLASSE I","2.2670493999999994",2011
"SE","CLASSE II","181.01371508500009",2011
"SE","CLASSE III","415.72541043000012",2011
"SE","CLASSE IV","69.152609272440003",2011
"BA","CLASSE I","429.22386940000001",2011
"BA","CLASSE II","6799.5914749017784",2011
"BA","CLASSE III","12671.153463979994",2011
"BA","CLASSE IV","1645.2256862409999",2011
"SUDESTE","CLASSE I","1564.8065841335001",2011
"SUDESTE","CLASSE II","30959.934163435209",2011
"SUDESTE","CLASSE III","56048.197353545096",2011
"SUDESTE","CLASSE IV","20653.084359960707",2011
"MG","CLASSE I","601.98281628749999",2011
"MG","CLASSE II","6817.2111368432561",2011
"MG","CLASSE III","15225.861985929983",2011
"MG","CLASSE IV","2632.3966815061895",2011
"ES","CLASSE I","49.949150700000004",2011
"ES","CLASSE II","578.49292850348991",2011
"ES","CLASSE III","2046.1940461799984",2011
"ES","CLASSE IV","211.02729501799996",2011
"RJ","CLASSE I","13.788596299999998",2011
"RJ","CLASSE II","276.21764603315",2011
"RJ","CLASSE III","508.47456901999999",2011
"RJ","CLASSE IV","36.826738089999999",2011
"SP","CLASSE I","899.086020846",2011
"SP","CLASSE II","23288.012452055314",2011
"SP","CLASSE III","38267.66675241512",2011
"SP","CLASSE IV","17772.833645346516",2011
"SUL","CLASSE I","754.60575150900013",2011
"SUL","CLASSE II","23461.135783688354",2011
"SUL","CLASSE III","55189.128544091625",2011
"SUL","CLASSE IV","7608.2997709526499",2011
"PR","CLASSE I","556.43746760900012",2011
"PR","CLASSE II","12192.54818722215",2011
"PR","CLASSE III","26331.292071325013",2011
"PR","CLASSE IV","4163.1559364446011",2011
"SC","CLASSE I","39.936884599999992",2011
"SC","CLASSE II","2866.9465377040592",2011
"SC","CLASSE III","5247.7357966066011",2011
"SC","CLASSE IV","641.06224742234997",2011
"RS","CLASSE I","158.23139929999999",2011
"RS","CLASSE II","8401.6410587621467",2011
"RS","CLASSE III","23610.100676160011",2011
"RS","CLASSE IV","2804.0815870856991",2011
"CENTRO 0ESTE","CLASSE I","2291.6398969954994",2011
"CENTRO 0ESTE","CLASSE II","32117.263078866454",2011
"CENTRO 0ESTE","CLASSE III","67382.453377512531",2011
"CENTRO 0ESTE","CLASSE IV","7899.3643466441799",2011
"MS","CLASSE I","229.87773999999999",2011
"MS","CLASSE II","4639.9700768858202",2011
"MS","CLASSE III","11990.887291410001",2011
"MS","CLASSE IV","861.25091753629999",2011
"MT","CLASSE I","1652.7045676225",2011
"MT","CLASSE II","19162.733152806588",2011
"MT","CLASSE III","35229.403180457542",2011
"MT","CLASSE IV","4688.5606816729996",2011
"GO","CLASSE I","407.3857547729998",2011
"GO","CLASSE II","8116.7590910631779",2011
"GO","CLASSE III","19770.429805324999",2011
"GO","CLASSE IV","2275.6117723448797",2011
"DF2","CLASSE I","1.6718345999999999",2011
"DF2","CLASSE II","197.80075811087002",2011
"DF2","CLASSE III","391.73310031999989",2011
"DF2","CLASSE IV","73.940975090000009",2011
"Vendas sem definição","CLASSE I","1127.4916210999995",2011
"Vendas sem definição","CLASSE II","25455.404882350002",2011
"Vendas sem definição","CLASSE III","42194.949023539986",2011
"Vendas sem definição","CLASSE IV","161.87863199999998",2011
"Vendas Totais","CLASSE I","6385.7575282814987",2011
"Vendas Totais","CLASSE II","124934.85000484115",2011
"Vendas Totais","CLASSE III","251318.86368438846",2011
"Vendas Totais","CLASSE IV","39602.793453671577",2011
"NORTE","CLASSE I","58.090755600000001",2012
"NORTE","CLASSE II","2427.3755007625609",2012
"NORTE","CLASSE III","8067.9830408139997",2012
"NORTE","CLASSE IV","589.77877457800003",2012
"AC","CLASSE I","0.21025000000000002",2012
"AC","CLASSE II","80.234614047999997",2012
"AC","CLASSE III","286.66537234800001",2012
"AC","CLASSE IV","7.9732560000000001",2012
"AM","CLASSE I","3.2843800000000001",2012
"AM","CLASSE II","13.64869079",2012
"AM","CLASSE III","57.074639779999998",2012
"AM","CLASSE IV","0.58546595000000001",2012
"AP","CLASSE I","0",2012
"AP","CLASSE II","0.39340000000000003",2012
"AP","CLASSE III","105.70180000000001",2012
"AP","CLASSE IV","9.9399999999999995",2012
"PA","CLASSE I","15.6610248",2012
"PA","CLASSE II","785.48376509460002",2012
"PA","CLASSE III","2557.031756506",2012
"PA","CLASSE IV","154.33511970999999",2012
"RO","CLASSE I","19.9409086",2012
"RO","CLASSE II","720.93666624894104",2012
"RO","CLASSE III","2415.143894756",2012
"RO","CLASSE IV","224.26293982999999",2012
"RR","CLASSE I","0.061812499999999999",2012
"RR","CLASSE II","18.824479920000002",2012
"RR","CLASSE III","146.56849740000001",2012
"RR","CLASSE IV","8.8205140400000008",2012
"TO","CLASSE I","18.932379699999998",2012
"TO","CLASSE II","807.85388466101995",2012
"TO","CLASSE III","2499.797080024",2012
"TO","CLASSE IV","183.86147904800001",2012
"NORDESTE","CLASSE I","334.5398467",2012
"NORDESTE","CLASSE II","12165.251930367189",2012
"NORDESTE","CLASSE III","28342.97031352",2012
